Latitude,Longitude,Emission Value
47.532524,-122.311623,20526
47.277256,-117.406737,109027
46.635062,-122.930338,8998
46.565997,-122.269573,30648
47.285551,-122.242298,34665
46.031656,-122.866241,24952
47.699284,-122.696926,20303
47.135844,-119.19962,0
47.516246,-122.298613,12913
46.137218,-122.982847,62123
45.9309,-119.41019,8337
47.234413,-119.869914,35378
46.55069,-119.489007,29924
46.10361,-122.92167,1408874
46.053153,-118.843934,127135
46.278453,-119.084682,2481
47.213448,-123.096517,68214
46.651389,-118.871944,30212
46.30058,-120.015675,36877
46.971504,-119.055427,15390
47.548056,-122.336944,52402
46.50919,-118.881203,14449
48.289771,-117.271359,0
46.114537,-122.916806,10224
47.062059,-122.318981,17353
46.64992,-120.52755,16908
47.270759,-119.573764,46678
47.485987,-120.316363,14113
48.421967,-122.21547,63441
45.991872,-119.136497,12487
47.210641,-122.239474,10820
47.131732,-119.18926,33007
46.7559,-122.8578,3953534
46.53461,-122.838569,14063
46.10396,-118.9184,586148
46.610031,-120.39408,128470
49.001,-122.2214,99795
45.657037,-122.692,14163
48.134623,-123.467524,159597
48.9905,-122.2733,216953
47.223413,-122.499775,13811
47.583604,-117.568511,42395
47.040323,-123.334339,10551
46.9688,-123.48,1210118
48.470931,-122.559161,1907858
46.544937,-122.926313,106396
46.968196,-123.853622,19751
46.309314,-119.297267,92506
47.56799,-122.34255,315155
46.53558,-118.293441,121513
46.995459,-123.382316,18125
47.088831,-122.34862,14289
46.970469,-119.063631,25915
46.107229,-122.905601,21302
47.687074,-117.212673,124441
45.778087,-121.626311,11307
45.649912,-122.553612,11387
45.8114,-120.833,545589
46.6226,-122.9145,875158
47.462625,-122.046025,233268
45.661178,-122.658608,3496
47.250503,-122.406461,7176
46.288137,-119.115336,39066
48.736499,-122.484714,11890
46.272621,-119.094644,2974
47.648848,-117.412461,12778
46.28274,-119.097528,17153
45.619569,-122.454955,98160
47.918622,-122.276987,69711
47.228986,-122.209551,36474
48.465617,-122.556032,65848
45.598844,-122.45232,18989
48.609799,-118.067441,50026
48.885475,-122.724299,9109
46.756413,-122.995433,40412
45.771216,-120.799267,19818
47.696999,-117.147223,39549
48.493816,-122.564845,1370882
46.02191,-122.85698,65308
48.548525,-117.915469,36853
47.138359,-119.200383,0
47.436276,-122.237648,12664
47.557047,-122.645933,42716
47.079716,-122.364711,35033
46.21875,-119.22987,25017
46.423108,-117.086487,15452
48.093793,-122.796806,512753
47.269558,-122.394869,49915
46.533743,-121.917906,62230
46.125662,-122.976788,42740
46.604058,-120.513015,9536
46.837778,-119.176389,112190
46.840102,-119.172705,81049
48.103425,-123.518642,42970
45.631069,-122.690043,15701
46.21842,-119.73397,14570
47.095,-122.2878,98816
47.688295,-117.279323,37290
47.781642,-122.395299,12
48.8455,-122.7055,9286
45.63236,-122.36516,11198
46.140095,-122.985138,659361
46.728702,-117.151481,82952
48.467646,-122.554343,43715
48.620335,-118.110841,444695
48.613175,-118.116106,46431
47.501359,-122.783272,69328
48.947567,-122.451915,19212
47.092145,-122.364656,21906
47.569331,-122.367332,84680
46.972405,-122.292799,161835
48.448553,-122.434613,220041
47.239948,-119.838831,20476
46.38463,-117.105985,72324
47.641332,-117.644832,14935
46.346663,-119.348118,44238
46.533325,-122.87373,19805
46.130495,-122.983637,1609289
46.659952,-122.970162,13273
48.345281,-122.669741,13171
45.713913,-121.468688,93723
47.003202,-120.544513,13700
48.262797,-121.597608,84515
47.256813,-122.394952,128320
48.341148,-119.620109,17014
47.61345,-122.19454,7031
47.673486,-117.388514,1136
45.584271,-122.40843,49561
47.6068,-122.340179,69446
47.61345,-122.19454,66913
45.689202,-122.573372,0
47.208993,-119.285437,11853
47.78825,-122.05859,57349
46.4785,-120.2688,45783
47.653614,-122.303608,91798
46.165957,-119.017218,142911
46.734454,-122.991963,12065
48.580583,-118.087594,11060
47.48938,-120.31426,11178
47.498257,-122.211346,18973
47.443643,-122.302452,16094
47.086342,-122.365686,486063
47.239235,-122.421909,13203
46.952907,-123.76211,518321
48.828707,-122.685533,464786
47.55833,-117.2117,8672
46.137521,-118.913051,94596
46.246902,-122.772284,300795
48.100872,-123.485745,20490
48.830142,-122.692114,718028
46.202562,-119.775527,10321
48.4553,-122.435,188307
45.807146,-120.179785,344587
47.626529,-117.504278,229883
47.673662,-117.388735,16213
48.8864,-122.7353,2123675
48.746,-122.486,204794
47.260953,-122.421765,978344
47.455871,-122.041817,22804
46.971875,-123.775526,181381
47.405083,-120.167444,66333
47.075183,-119.220408,32927
46.04326,-122.871703,18422
46.688088,-123.737495,35084
46.975533,-122.290871,18587
47.1142,-122.5365,72235
45.849504,-120.08083,12884
47.55242,-122.33739,54049
47.490091,-117.579702,13884
45.64958,-122.724806,653928